N° auto;nom;adresse;complément;code INSEE;commune;région administrative;geo_ban;geo_insee;corrdonnees_finales
214;GAUMONT OPERA CAPUCINES 2;2/4 BOULEVARD DES CAPUCINES;;75109;Paris 9me;ILE-DE-FRANCE;48.871044, 2.33361;48.8768961624, 2.33746024139;48.871044, 2.33361
731;MK2 ODEON 2;113 BD ST GERMAIN;;75106;Paris 6me;ILE-DE-FRANCE;48.852437, 2.338266;48.8489680919, 2.33267089859;48.852437, 2.338266
408441;CINEMA FLOREAL;7/9 RUE DES ROSIERS;;93070;Saint-Ouen;ILE-DE-FRANCE;48.904144, 2.339193;48.909806575, 2.33257042205;48.904144, 2.339193
741;LUXEMBOURG 1;67 69 RUE MONSIEUR LE PRINCE;;75106;Paris 6me;ILE-DE-FRANCE;48.84824, 2.340797;48.8489680919, 2.33267089859;48.84824, 2.340797
8341;NOUVEL ODEON;6 RUE DE L ECOLE DE MEDECINE;;75106;Paris 6me;ILE-DE-FRANCE;48.850764, 2.341747;48.8489680919, 2.33267089859;48.850764, 2.341747
8361;ESPACE SAINT MICHEL 1;7 PLACE ST MICHEL;;75105;Paris 5me;ILE-DE-FRANCE;48.853093, 2.344228;48.8445086596, 2.34985938556;48.853093, 2.344228
1681;UGC CINE CITE LES HALLES 1;101 RUE BERGER;FORUM DES HALLES;75101;Paris 1er;ILE-DE-FRANCE;48.861424, 2.345829;48.8626304852, 2.33629344655;48.861424, 2.345829
531;MK2 BEAUBOURG 1;50 RUE RAMBUTEAU;;75103;Paris 3me;ILE-DE-FRANCE;48.861555, 2.352217;48.8630541318, 2.35936105897;48.861555, 2.352217
1392;L'ARCHIPEL 1;17 BD DE STRASBOURG;;75110;Paris 10me;ILE-DE-FRANCE;48.870455, 2.35466;48.8760285569, 2.36111290456;48.870455, 2.35466
381912;ECRAN 1;14 PASSAGE DE L ACQUEDUC;;93066;Saint-Denis;ILE-DE-FRANCE;48.93659, 2.358747;48.9295650455, 2.3592429975;48.93659, 2.358747
381941;GAUMONT 1;8 RUE DU MONDIAL 1998;;93066;Saint-Denis;ILE-DE-FRANCE;48.925395, 2.363117;48.9295650455, 2.3592429975;48.925395, 2.363117
202562;PATHE 1;5 RUE FRANCOIS MITTERRAND;2 QUAI MARCEL BOYER;94041;Ivry-sur-Seine;ILE-DE-FRANCE;48.824074, 2.387803;48.8128063812, 2.38778023612;48.824074, 2.387803
125135;L'ETOILE;1 ALLEE DU PROGRES;;93027;La Courneuve;ILE-DE-FRANCE;48.926821, 2.391627;48.9322569546, 2.39978064801;48.926821, 2.391627
6212;MK2 NATION 1;133 BOULEVARD DIDEROT;;75112;Paris 12me;ILE-DE-FRANCE;48.848213, 2.39311;48.8351562307, 2.41980703497;48.848213, 2.39311
173332;JACQUES BREL A;PLACE DE L'HOTEL DE VILLE;;95268;Garges-lès-Gonesse;ILE-DE-FRANCE;48.971945, 2.399817;48.9701231267, 2.40534038501;48.971945, 2.399817
36013;CIN'HOCHE 1;6 RUE HOCHE;;93006;Bagnolet;ILE-DE-FRANCE;48.869237, 2.417029;48.8690836308, 2.42274096688;48.869237, 2.417029
226883;THEATRE DU GARDE CHASSE;2 AVENUE WALDECK ROUSSEAU;;93045;Les Lilas;ILE-DE-FRANCE;48.881921, 2.419546;48.8819208939, 2.419667821;48.881921, 2.419546
276086;MELIES 01;PLACE JEAN JAURES;;93048;Montreuil;ILE-DE-FRANCE;48.862437, 2.442502;48.8633175054, 2.44816211857;48.862437, 2.442502
128541;CINEMA DU PALAIS 1;40 ALLEE PARMENTIER;;94028;Créteil;ILE-DE-FRANCE;48.786063, 2.444158;48.7837401836, 2.45463530415;48.786063, 2.444158
